target,Param,mean_PV,sd_PV,hpd_3%_PV,hpd_97%_PV,mcse_mean_PV,mcse_sd_PV,ess_mean_PV,ess_sd_PV,ess_bulk_PV,ess_tail_PV,r_hat_PV,class_PV,FC_PV,SigFactor_PV,Status_PV,mean_CVB,sd_CVB,hpd_3%_CVB,hpd_97%_CVB,mcse_mean_CVB,mcse_sd_CVB,ess_mean_CVB,ess_sd_CVB,ess_bulk_CVB,ess_tail_CVB,r_hat_CVB,class_CVB,FC_CVB,SigFactor_CVB,Status_CVB,CVB_PV
TYRO3,MP,5.732,0.091,5.561,5.904,0.001,0.001,12890,12840,13231,11868,1,NA,-0.0550628984893306,-0.241151637213399,Unchanged,6.912,0.12,6.683,7.135,0.001,0.001,15478,15478,15457,8448,1,NA,-0.226501393953737,-0.803055069079063,Unchanged,Unchanged Unchanged
TYRO3,Max,17.141,0.592,16.104,18.317,0.006,0.004,9343,9304,9445,9767,1,NA,0.230791371793528,0.164173528418448,Unchanged,24.204,0.755,22.764,25.606,0.008,0.006,9115,9115,9100,7020,1,NA,0.629359414096943,0.483980889266627,Unchanged,Unchanged Unchanged
TYRO3,Slope,2.003,0.351,1.405,2.617,0.004,0.003,9451,8511,10338,10746,1,NA,-0.366885222305292,-0.352066663481375,Unchanged,1.379,0.193,1.04,1.727,0.002,0.001,11083,10375,12196,10987,1,NA,0.4593008509018,1.5194732575504,Up,NA
TYRO3,dof,2.336,1.272,0.845,4.306,0.014,0.01,8780,8780,9101,10005,1,NA,0.466163614470034,0.285001946305306,Unchanged,9.732,5.569,1.467,20.108,0.047,0.033,14110,14110,9020,5207,1,NA,2.46388575938091,0.61825290666116,Unchanged,NA
TYRO3,k,-0.175,0.38,-0.904,0.546,0.004,0.003,9686,8440,9896,9543,1,NA,NA,NA,Unchanged,-0.377,0.511,-1.368,0.567,0.005,0.004,10269,8931,10420,11032,1,NA,0.75106579121106,1.09305643103826,Unchanged,NA
TYRO3,sigma,1.389,0.329,0.794,2.005,0.004,0.002,8715,8715,8541,9131,1,NA,-0.625585250695155,-0.706198720531866,Unchanged,1.413,0.255,0.961,1.915,0.003,0.002,6440,6440,7496,4841,1,NA,0.70299451788946,1.39552278801064,Up,NA
U2SURP,MP,5.794,0.273,5.147,6.111,0.005,0.004,2495,2495,3166,3582,1,NA,-0.0395418234810732,-0.103299062988946,Unchanged,8.315,0.279,7.841,8.847,0.019,0.014,210,210,193,10463,1.02,NA,0.0401116520574253,0.0953268462240069,Unchanged,Unchanged Unchanged
U2SURP,Max,18.83,1.476,16.031,21.564,0.025,0.018,3529,3529,3517,6235,1,NA,0.366373093511307,0.164822883241788,Unchanged,29.05,2.134,25.647,33.015,0.226,0.161,89,89,70,33,1.04,NA,0.892652087942079,0.426332983793451,Unchanged,Unchanged Unchanged
U2SURP,Slope,22.371,24.478,1.015,68.809,0.601,0.425,1657,1657,2174,2262,1,NA,3.11451019878939,0.399613473862341,Unchanged,1.013,0.265,0.581,1.486,0.026,0.018,104,104,120,3102,1.03,NA,0.0143125681889574,0.0412541324602872,Unchanged,NA
U2SURP,dof,8.943,5.393,1.287,18.823,0.083,0.059,4223,4223,3575,4863,1,NA,2.40288221630234,0.652645680282759,Unchanged,7.943,5.927,0.548,18.756,0.497,0.352,142,142,48,20,1.06,NA,2.1708334424023,0.551157325014904,Unchanged,NA
U2SURP,k,0.47,1.146,-1.787,2.576,0.02,0.014,3407,3407,3374,3781,1,NA,4.876516946565,3.19781640968489,Unchanged,-0.507,0.974,-2.392,1.357,0.012,0.012,6548,3423,7435,7542,1.01,NA,1.17848701494574,1.23217436239024,Unchanged,NA
U2SURP,sigma,4.486,0.698,3.069,5.73,0.011,0.008,3757,3757,3835,3082,1,NA,1.06579777040972,0.811642663106923,Unchanged,2.631,0.856,0.485,3.724,0.158,0.113,29,29,49,17,1.07,NA,1.59984430072141,1.72357992139652,Unchanged,NA
UBB,MP,19.865,4.804,16.043,31.009,0.17,0.12,799,799,1399,492,1,NA,1.73805538022398,1.15236204597005,Up,19.283,4.922,12.021,32.752,0.152,0.108,1044,1044,1290,591,1,NA,1.25365300327963,0.656312817152024,Unchanged,Unchanged Up
UBB,Max,47.765,29.91,0,93.862,0.565,0.4,2799,2799,1813,578,1,NA,1.70929395816944,0.186700777335381,Unchanged,45.339,31.105,0,93.717,0.708,0.501,1930,1930,1469,1038,1,NA,1.53486649556409,0.205543115135296,Unchanged,Unchanged Unchanged
UBB,Slope,42.082,30.11,0.514,95.671,0.41,0.29,5385,5385,4194,4640,1,NA,4.02608372358816,0.43602202370957,Unchanged,39.139,30.088,0.049,93.526,0.506,0.358,3535,3535,2412,2363,1,NA,5.28621338456803,1.49922386408391,Unchanged,NA
UBB,dof,0.485,0.088,0.329,0.651,0.001,0.001,4208,4208,4177,6502,1,NA,-1.80182000733549,-3.61155075155015,Down,8.563,5.184,1.415,18.326,0.086,0.061,3604,3604,2950,2244,1,NA,2.27926576457137,0.600468908521001,Unchanged,NA
UBB,k,0.533,0.17,0.259,0.843,0.005,0.003,1290,1290,1993,1819,1,NA,5.05799172275918,9.06584075482133,Up,1.334,0.218,0.963,1.731,0.005,0.004,1903,1903,2535,1994,1,NA,NA,NA,NA,NA
UBB,sigma,0.735,0.24,0.341,1.189,0.004,0.003,3312,3312,3394,5901,1,NA,-1.54381569495282,-2.08261994249018,Down,0.945,0.174,0.619,1.271,0.003,0.002,2902,2902,2793,3624,1,NA,0.122619286663956,0.294438210193725,Unchanged,NA
UBC,MP,16.277,6.294,4.029,27.3,0.242,0.171,676,676,750,2503,1.01,NA,1.45066140900957,0.771323815486616,Unchanged,20.08,3.074,17.093,25.181,1.536,1.176,4,4,4,12,7.14,NA,1.31208275272093,1.0997255661571,Up,Up Unchanged
UBC,Max,31.932,32.444,0.014,90.567,1.15,0.813,797,797,760,3165,1,NA,1.12834300975309,0.125476961024151,Unchanged,14.304,18.841,0.047,46.471,9.413,7.211,4,4,4,4,5.08,NA,-0.129467434053857,-0.0246337641498379,Unchanged,Unchanged Unchanged
UBC,Slope,38.546,29.872,0,91.675,0.43,0.304,4835,4835,3294,2595,1,NA,3.8994616078214,0.430254265624951,Unchanged,57.509,44.945,19.864,134.183,22.455,17.203,4,4,4,23,4.66,NA,5.84139424046063,1.49806786892565,Up,NA
UBC,dof,13.39,5.768,3.731,23.996,0.083,0.058,4881,4881,4469,4665,1,NA,2.98520739580169,0.754243294643013,Unchanged,0.554,0.198,0.281,0.802,0.099,0.076,4,4,4,13,3.3,NA,-1.67089267950833,-2.50789816262502,Down,NA
UBC,k,4.585,0.978,3.035,6.071,0.028,0.02,1213,1213,1409,2354,1,NA,8.16270601848242,6.41681720016064,Up,0,0,0,0,0,0,20000,20000,16273,45,1.66,NA,-Inf,-Inf,Up,NA
UBC,sigma,3.987,0.445,3.194,4.826,0.007,0.005,3567,3567,3578,5665,1,NA,0.895671755320783,0.870966195001459,Unchanged,0,0,0,0,0,0,20000,20000,5,11,2.26,NA,-Inf,-Inf,Down,NA
UBE2E1,MP,6.546,0.094,6.368,6.72,0.001,0.001,10359,10359,10415,10337,1,NA,0.136512094293287,0.590171188220727,Unchanged,7.237,0.219,6.852,7.653,0.003,0.002,5809,5809,5742,10671,1,NA,-0.160212839847352,-0.4267020473189,Unchanged,Unchanged Unchanged
